Form	POS	Predicted	
انتھائي	ADJ	انتھائي	
بااخلاق	ADJ	بااخلاق	
بکيو	ADJ	بکيو	
حاضر	ADJ	حاضر	
خوشحالي	ADJ	خوشحال	Updated
ذميوار	ADJ	ذميوار	
سخي	ADJ	سخي	
سُهڻو	ADJ	سُهڻو	
قتل	ADJ	قتل	
محترم	ADJ	محترم	
وسعت	ADJ	وسعت	
ڀائيوار	ADJ	ڀائيوار	
چنڊا	ADJ	چنڊو	
ڏهه	ADJ	ڏهه	
ڪي	ADJ	ڪي	
ڪيڏي	ADJ	ڪيڏي	
ڪیترائي	ADJ	ڪیترائي	
گرفتار	ADJ	گرفتار	
منجهس	ADP	منجه	Updated
شل	ADV	شل	
هرطرف	ADV	هرطرف	
هروڀرو	ADV	هروڀرو	
واقعي	ADV	واقعي	
وٽان	ADV	وٽ	
وڌيڪ	ADV	وڌيڪ	
يعني	ADV	يعني	
گڏو	ADV	گڏو	
سگهبو	AUX	سگهبو	
سگهو	AUX	سگهو	
ههڙو	DET	اھڙو	
ڪاش	INTJ	ڪاش	
آئرش	NOUN	آئرش	
آئرلينڊ	NOUN	آئرلينڊ	
آئندي	NOUN	آئندو	
آئوٽ	NOUN	آئوٽ	
آئيني	NOUN	آئيني	
آب	NOUN	آب	
آبادين	NOUN	آبادي	
آبادگار	NOUN	آبادگار	
آبياني	NOUN	آبيانو	Updated
آتشبازي	NOUN	آتشبازي	
آرمي	NOUN	آرمي	
آروکي	NOUN	آروکي	
آرڊر	NOUN	آرڊر	
آرڊينيٽر	NOUN	آرڊينيٽر	
آرگنائيز	NOUN	آرگنائيز	
آزي	NOUN	آزي	
آزيون	NOUN	آزي	
آسرا	NOUN	آسرو	
آسرن	NOUN	آسرو	Updated
آسري	NOUN	آسرو	
آسماننّ	NOUN	آسمان	Updated
آشنا	NOUN	آشنا	Updated
آغاز	NOUN	آغاز	
آفاقيت	NOUN	آفاقيت	
آفيسرز	NOUN	آفيسر	
آفيسون	NOUN	آفيس	
آمدني	NOUN	آمدني	
آمريتون	NOUN	آمريت	
آمريڪي	NOUN	آمريڪي	
آموز	NOUN	آموز	
آندل	NOUN	آندل	
آنن	NOUN	آنو	
آنند	NOUN	آنند	
آنو	NOUN	آنو	
آنڊا	NOUN	آنڊو	
آنڌ	NOUN	آنڌ	
آهنگي	NOUN	آهنگي	
آهه	NOUN	آهه	
آوانگ	NOUN	آوانگ	
آپگهات	NOUN	آپگهات	
آپگهاتي	NOUN	آپگهاتي	
آڇ	NOUN	آڇ	
آڌر	NOUN	آڌر	
آڙاهه	NOUN	آڙاهه	
آکاڻين	NOUN	آکاڻي	
آڪاس	NOUN	آڪاس	
آڪٽين	NOUN	آڪٽين	
آگاھي	NOUN	آگاھي	
آڱريون	NOUN	آڱر	
آڱوٺي	NOUN	آڱوٺو	
اباڻي	NOUN	اباڻو	
ابتدا	NOUN	ابتدا	
ابڙو	NOUN	ابڙو	
اتحادي	NOUN	اتحادي	
اتحادين	NOUN	اتحادي	
اجاگر	NOUN	اجاگر	
اجتماع	NOUN	اجتماع	
اجرت	NOUN	اجرت	
اجرڪن	NOUN	اجرڪ	
اجلاسن	NOUN	اجلاس	
احتياط	NOUN	احتياط	
احسان	NOUN	احسان	
احمداڻي	NOUN	احمداڻي	
احمقن	NOUN	احمق	
احوالن	NOUN	احوال	
اختصار	NOUN	اختصار	
اختلافن	NOUN	اختلاف	
اخلاقيات	NOUN	اخلاقيات	
ادا	NOUN	ادا	
ادائگي	NOUN	ادائگي	
ادائگيون	NOUN	ادائگي	
ادار	NOUN	ادار	
اداسيءَ	NOUN	اداسيءَ	
اداسين	NOUN	اداسي	
اداڪار	NOUN	اداڪار	
ادي	NOUN	ادو	Updated
ارادي	NOUN	ارادو	Updated
ارب	NOUN	ارب	
اربين	NOUN	ارب	Updated
اردو	NOUN	اردو	
ازبڪ	NOUN	ازبڪ	
ازل	NOUN	ازل	
ازم	NOUN	ازم	
استحقاق	NOUN	استحقاق	
استحڪام	NOUN	استحڪام	
استقبالي	NOUN	استقبال	
اسرڻ	NOUN	اسرڻ	
اسلحي	NOUN	اسلحي	
اسلوبيءَ	NOUN	اسلوبيءَ	
اسمگلنگ	NOUN	اسمگلنگ	
اسيمبليءَ	NOUN	اسيمبليءَ	
اسٽريٽ	NOUN	اسٽريٽ	
اسٽيبلشمينٽ	NOUN	اسٽيبلشمينٽ	
اسٽيج	NOUN	اسٽيج	
اسٽيٽ	NOUN	اسٽيٽ	
اسپيڊ	NOUN	اسپيڊ	
اسڪائوٽس	NOUN	اسڪائوٽس	
اشارا	NOUN	اشارو	
اشارن	NOUN	اشارو	Updated
اشرفين	NOUN	اشرفي	
اشرفيون	NOUN	اشرفي	
اصليت	NOUN	اصليت	
اضافي	NOUN	اضافو	Updated
اعتراف	NOUN	اعتراف	
اعزاز	NOUN	اعزاز	
اعظمن	NOUN	اعظم	
اعلانن	NOUN	اعلان	
اعمال	NOUN	عمل	Updated
اعواڻ	NOUN	اعواڻ	
اغوائون	NOUN	اغوائ	
افراتفري	NOUN	افراتفري	
افغان	NOUN	افغان	
اقليت	NOUN	اقليت	
الائونس	NOUN	الائونس	
الاهي	NOUN	الاهي	
الاٽ	NOUN	الاٽ	
الجهيل	NOUN	الجهيل	
الحاق	NOUN	الحاق	
الحال	NOUN	الحال	
الزامن	NOUN	الزام	
العين	NOUN	العين	
الوداع	NOUN	الوداع	
اليڪشن	NOUN	اليڪشن	
الٽ	NOUN	الٽ	
الڪن	NOUN	الڪ	
امانت	NOUN	امانت	
امنگن	NOUN	امنگ	Updated
اميدن	NOUN	اميد	Updated
اميدوار	NOUN	اميدوار	
اميدون	NOUN	اميد	
اميدين	NOUN	اميدي	
امين	NOUN	امين	
امينڊمنٽ	NOUN	امينڊمنٽ	
اناج	NOUN	اناج	
انت	NOUN	انت	
انتظامي	NOUN	انتظامي	
انجنيئرنگ	NOUN	انجنيئرنگ	
اندارن	NOUN	اندار	
اندازن	NOUN	انداز	
اندازي	NOUN	انداز	
اندازِ	NOUN	اندازِ	
اندوزن	NOUN	اندوز	
اندوزي	NOUN	اندوز	Updated
انسائيڪلو	NOUN	انسائيڪلو	
انفلو	NOUN	انفلو	
انٽرٽينمينٽ	NOUN	انٽرٽينمينٽ	
انٽيليجنس	NOUN	انٽيليجنس	
انڊلٺ	NOUN	انڊلٺ	
انڙ	NOUN	انڙ	
انڪم	NOUN	انڪم	
انڪوائري	NOUN	انڪوائري	
انگريز	NOUN	انگريز	
انگريزن	NOUN	انگريز	
اهليت	NOUN	اهليت	
اوباما	NOUN	اوباما	
اوثر	NOUN	اوثر	
اوج	NOUN	اوج	
اوطاق	NOUN	اوطاق	
اوطاقون	NOUN	اوطاق	
اول	NOUN	اول	
اولڙو	NOUN	اولڙو	
اونداهن	NOUN	اونداھ	
اونداهه	NOUN	اونداه	
اونهارو	NOUN	اونهارو	
اونو	NOUN	اونو	
اونڌيون	NOUN	اونڌي	
اوهـان	NOUN	اوهـان	
اوورن	NOUN	اوور	Updated
اوٽ	NOUN	اوٽ	
اوپينين	NOUN	اوپينين	Updated
اوڇنگارون	NOUN	اوڇنگار	
اوڙاهه	NOUN	اوڙاهه	
اوگرا	NOUN	اوگرا	Updated
اوڳاڙي	NOUN	اوڳاڙو	
اوڳرائي	NOUN	اوڳرائي	
ايئر	NOUN	ايئر	
ايئرڪنڊيشنز	NOUN	ايئرڪنڊيشنز	
ايجادون	NOUN	ايجاد	
ايجنسين	NOUN	ايجنسي	
ايجنٽ	NOUN	ايجنٽ	
ايجنٽن	NOUN	ايجنٽ	Updated
ايرانيان	NOUN	ايران	Updated
ايريگيشن	NOUN	ايريگيشن	
ايسڊ	NOUN	ايسڊ	
ايليٽ	NOUN	ايليٽ	
ايمانداري	NOUN	ايمانداري	
اينٽي	NOUN	اينٽي	
اينٿالاجي	NOUN	اينٿالاجي	
ايونٽ	NOUN	ايونٽ	
ايٿو	NOUN	ايٿو	
ايڊ	NOUN	ايڊ	
ايڊمنسٽريٽر	NOUN	ايڊمنسٽريٽر	
ايڊورٽائيزمينٽ	NOUN	ايڊورٽائيزمينٽ	
ايڪسٽريمسٽ	NOUN	ايڪسٽريمسٽ	
ايڪٽ	NOUN	ايڪٽ	
اُتساهه	NOUN	اُتساهه	
اُتم	NOUN	اُتم	
اُجرو	NOUN	اُجرو	
اُجورو	NOUN	اُجورو	
اُلا	NOUN	اُلا	
اُميدن	NOUN	اُميد	
اٻوجهه	NOUN	اٻوجهه	
اٽڪل	NOUN	اٽڪل	
اپ	NOUN	اپ	
اپاءُ	NOUN	اپاءُ	
اپائن	NOUN	اپاءُ	Updated
اپار	NOUN	اپار	
اپارٽمينٽ	NOUN	اپارٽمينٽ	
اپاهج	NOUN	اپاهج	
اپٽار	NOUN	اپٽار	
اڀ	NOUN	اڀ	
اچرج	NOUN	اچرج	
اڇاڻ	NOUN	اڇاڻ	
اڊڙيل	NOUN	اڊڙيل	
اڌ	NOUN	اڌ	
اڏامون	NOUN	اڏامون	
اڏاوت	NOUN	اڏاوت	
اڏاوتن	NOUN	اڏاوت	
اڏي	NOUN	اڏو	Updated
اکيائي	NOUN	اکيائي	
اڪائونٽ	NOUN	اڪائونٽ	
اڪتفا	NOUN	اڪتفا	
اگهاڙن	NOUN	اگهاڙو	
اگهاڙي	NOUN	اگهاڙو	
اڱڻ	NOUN	اڱڻ	
اڳڪٿي	NOUN	اڳڪٿي	Updated
اڻٿيڻين	NOUN	اڻٿيڻي	Updated
اھلڪارن	NOUN	اھلڪار	
ب	NOUN	ب	
بئنڪن	NOUN	بئنڪ	
بادشاهتون	NOUN	بادشاهت	Updated
بارڊر	NOUN	بارڊر	
بارگاهه	NOUN	بارگاهه	
بارگاههِ	NOUN	بارگاههِ	
باز	NOUN	باز	
بازارن	NOUN	بازار	
بازارون	NOUN	بازار	
بازيءَ	NOUN	بازيءَ	
بازيگر	NOUN	بازيگر	
باعث	NOUN	باعث	
بالادستي	NOUN	بالادستي	
بالن	NOUN	بال	
باندر	NOUN	باندر	
باندي	NOUN	باندي	
باٿ	NOUN	باٿ	
باڊيز	NOUN	باڊيز	
باڙه	NOUN	باڙه	
بتارا	NOUN	بتارو	
بتال	NOUN	بتال	
بتي	NOUN	بتي	
بتيءَ	NOUN	بتيءَ	
بحال	NOUN	بحال	
بدانتظامي	NOUN	بدانتظامي	
بدعنوان	NOUN	بدعنوان	Updated
بدلين	NOUN	بدلي	
بدنيت	NOUN	بدنيت	
بر	NOUN	بر	
برابري	NOUN	برابري	
برادرءَ	NOUN	برادرءَ	
برادريءَ	NOUN	برادريءَ	
براروانگ	NOUN	براروانگ	
برخلاف	NOUN	برخلاف	
برگيڊ	NOUN	برگيڊ	
بقايائن	NOUN	بقايا	Updated
بقول	NOUN	بقول	
بلد	NOUN	بلد	
بلڊنگ	NOUN	بلڊنگ	
بندشن	NOUN	بندش	Updated
بندشون	NOUN	بندش	
بندوق	NOUN	بندوق	
بندوقون	NOUN	بندوق	
بندي	NOUN	بندو	
بنگلي	NOUN	بنگلو	
بهار	NOUN	بهار	
بهانا	NOUN	بهانو	
بهشت	NOUN	بهشت	
بوءِ	NOUN	بوءِ	
بورچيخاني	NOUN	بورچيخانو	Updated
بولاٽيون	NOUN	بولاٽي	Updated
بوگس	NOUN	بوگس	
بياني	NOUN	بياني	
بيبي	NOUN	بيبي	
بيدو	NOUN	بيدو	
بيدي	NOUN	بيدو	
بيرڪن	NOUN	بيرڪ	
بيلدار	NOUN	بيلدار	
بيماري	NOUN	بيماري	Updated
بيمثال	NOUN	بيمثال	
بيوس	NOUN	بيوس	
بيوسي	NOUN	بيوسي	
بيڏوهي	NOUN	بيڏوهي	
بٺي	NOUN	بٺي	
بٺيءَ	NOUN	بٺيءَ	
بگهڙ	NOUN	بگهڙ	
ت	NOUN	ت	
تئونري	NOUN	تئونري	
تابوت	NOUN	تابوت	
تاثرات	NOUN	تاثرات	
تاج	NOUN	تاج	
تاريخون	NOUN	تاريخ	
تازي	NOUN	تازو	
تالا	NOUN	تالو	Updated
تالو	NOUN	تالو	
تاڙ	NOUN	تاڙ	
تاڙي	NOUN	تاڙي	
تاڙيون	NOUN	تاڙي	Updated
تاڪيون	NOUN	تاڪ	
تباهيءُ	NOUN	تباهيءُ	
تبديليون	NOUN	تبديلي	
تبصرو	NOUN	تبصرو	
تت	NOUN	تت	
تجربو	NOUN	تجربو	
تجويزون	NOUN	تجويز	
تحرير	NOUN	تحرير	
تحريرن	NOUN	تحرير	
تحويل	NOUN	تحويل	
تخت	NOUN	تخت	
تخته	NOUN	تخته	
تختِ	NOUN	تختِ	
تدبر	NOUN	تدبر	
تدفين	NOUN	تدفي	
تذڪرو	NOUN	تذڪرو	
تر	NOUN	تر	
ترا	NOUN	ترو	
ترتيب	NOUN	ترتيب	
ترجما	NOUN	ترجمو	
ترجماني	NOUN	ترجماني	
ترسائي	NOUN	ترسائي	
ترقيءَ	NOUN	ترقيءَ	
ترقيون	NOUN	ترقي	
ترميمي	NOUN	ترميم	Updated
تري	NOUN	تري	
تريءَ	NOUN	تريءَ	
ترين	NOUN	تري	
ترڪِ	NOUN	ترڪِ	
تشڪيل	NOUN	تشڪيل	
تصوف	NOUN	تصوف	
تضادن	NOUN	تضاد	Updated
تعارف	NOUN	تعارف	
تعاليٰ	NOUN	تعاليٰ	
تعبير	NOUN	تعبير	
تعطلي	NOUN	تعطلي	
تعلقه	NOUN	تعلقه	
تـيـزيءَ	NOUN	تـيـزيءَ	
تـُنبيءَ	NOUN	تـُنبيءَ	
تـُنبيون	NOUN	تـُنبي	Updated
تفتيش	NOUN	تفتيش	
تقدس	NOUN	تقدس	
تقديرون	NOUN	تقدير	
تقريباً	NOUN	تقريباً	
تقرير	NOUN	تقرير	
تلهه	NOUN	تلهه	
تلٻٽ	NOUN	تلٻٽ	
تم	NOUN	تم	
تماشائي	NOUN	تماشائي	
تماشو	NOUN	تماشو	
تمدن	NOUN	تمدن	
تنبي	NOUN	تنبو	
تنبيءَ	NOUN	تنبيءَ	
تنطيم	NOUN	تنطيم	
تنيو	NOUN	تنيو	
توانائي	NOUN	توانائي	
توتي	NOUN	توتي	
توجهه	NOUN	توجهه	
تونئري	NOUN	تونئري	
تياري	NOUN	تياري	
تير	NOUN	تير	
تين	NOUN	تين	Updated
تُنبي	NOUN	تُنبو	
تُنبيءَ	NOUN	تُنبيءَ	
تُنبيون	NOUN	تُنبي	
تڏي	NOUN	تڏو	
تڙ	NOUN	تڙ	
تکن	NOUN	تکو	Updated
تڪ	NOUN	تڪ	
تڪرارن	NOUN	تڪرار	
تڪليفن	NOUN	تڪليف	
تڪميل	NOUN	تڪميل	
تڪڙ	NOUN	تڪڙ	
ثقافتون	NOUN	ثقافت	
ثمر	NOUN	ثمر	
ثواب	NOUN	ثواب	
ج	NOUN	ج	
جاب	NOUN	جاب	
جاتي	NOUN	جاتي	
جادوگر	NOUN	جادوگر	
جادوگراڻين	NOUN	جادوگراڻي	
جاهلن	NOUN	جاهل	
جاهه	NOUN	جاهه	
جاگيرداري	NOUN	جاگيرداري	
جبلن	NOUN	جبل	
جتن	NOUN	جت	
جدت	NOUN	جدت	
جدوجھد	NOUN	جدوجھد	
جديد	NOUN	جديد	
جذب	NOUN	جذب	
جذبا	NOUN	جذبو	
جرئت	NOUN	جرئت	
جزا	NOUN	جزو	
جستجو	NOUN	جستجو	
جسم	NOUN	جسم	
جشن	NOUN	جشن	Updated
جـُـلد	NOUN	جـُـلد	
جـُٺ	NOUN	جـُٺ	
جلال	NOUN	جلال	
جلاوطن	NOUN	جلاوطن	
جلباڻي	NOUN	جلباڻي	Updated
جلسا	NOUN	جلسو	
جلسي	NOUN	جلسو	
جماعتن	NOUN	جماعت	
جمالي	NOUN	جمالي	
جماليءَ	NOUN	جماليءَ	
جماڻي	NOUN	جماڻي	Updated
جمعته	NOUN	جمعته	
جمعدار	NOUN	جمعدار	
جملن	NOUN	جملو	
جملو	NOUN	جملو	
جمهوريه	NOUN	جمهوريه	
جنازا	NOUN	جنازو	
جندڙي	NOUN	جندڙي	Updated
جنسن	NOUN	جنس	Updated
جنسون	NOUN	جنس	Updated
جنن	NOUN	جن	
جنگين	NOUN	جنگ	Updated
جهاتي	NOUN	جهاتي	Updated
