آسان	ADJ	آسان
اعليٰ	ADJ	اعليٰ
امريڪي	ADJ	امريڪا
انوکي	ADJ	انوکي
اول	ADJ	اول
ايڪڙٻيڪڙ	ADJ	ايڪڙٻيڪڙ
اڌورا	ADJ	اڌور
اڌورو	ADJ	اڌورو
اڪيلو	ADJ	اڪيلو
اڳ	ADJ	اڳ
اڳتي	ADJ	اڳ
برتر	ADJ	برتر
برو	ADJ	برو
بلدياتي	ADJ	بلديات
بلند	ADJ	بلند
بند	ADJ	بند
بنيادي	ADJ	بنياد
بهتر	ADJ	بهتر
بهترين	ADJ	بهتر
تباھ	ADJ	تباھ
تشويشناڪ	ADJ	تشويش
تعليمي	ADJ	تعليم
تهذيبي	ADJ	تهذيب
جام	ADJ	جام
جيڏو	ADJ	جيڏو
حسين	ADJ	حسين
خاص	ADJ	خاص
خاموش	ADJ	خاموش
ختم	ADJ	ختم
خراب	ADJ	خراب
خوبصورت	ADJ	خوبصورت
خوبصورتي	ADJ	خوبصورت
خوش	ADJ	خوش
خوشحال	ADJ	خوش
خوشگوار	ADJ	خوش
دولتمند	ADJ	دولت
دير	ADJ	دير
ديسي	ADJ	ديس
رُلي	ADJ	رُل
زخمي	ADJ	زخم
سائين	ADJ	سائين
سادا	ADJ	سادو
سخت	ADJ	سخت
سلطاني	ADJ	سلطان
سلڇڻي	ADJ	سلڇڻو
سماجي	ADJ	سماج
سمورا	ADJ	سمورو
سميري	ADJ	سمير
سهڻا	ADJ	سهڻو
سهڻو	ADJ	سهڻو
سهڻي	ADJ	سهڻي
سوير	ADJ	سوير
سوڙها	ADJ	سوڙه
سوڙهو	ADJ	سوڙه
سيباڻو	ADJ	سيباڻو
سيلاني	ADJ	سيلاني
سٺا	ADJ	سٺو
سٺو	ADJ	سٺو
سٺي	ADJ	سٺي
سٻاجھي	ADJ	سٻاجھ
سٿرو	ADJ	سٿرو
سڀ	ADJ	سڀ
سڀئي	ADJ	سڀ
سڀني	ADJ	سڀ
سڄي	ADJ	سڄ
سچو	ADJ	سچ
سچي	ADJ	سچ
شروعاتي	ADJ	شروع
شمار	ADJ	شمار
شوق	ADJ	شوق
صاف	ADJ	صاف
صحتمند	ADJ	صحت
طبعي	ADJ	طبع
عارضي	ADJ	عارضي
عالمي	ADJ	عالم
عظيم	ADJ	عظيم
عليم	ADJ	عليم
غريب	ADJ	غريب
غلط	ADJ	غلط
قديم	ADJ	قديم
قومي	ADJ	قوم
لوهارڪي	ADJ	لوهار
مارجي	ADJ	مار
مالي	ADJ	مالي
محفوظ	ADJ	محفوظ
محنتي	ADJ	محنت
مختلف	ADJ	مختلف
مزو	ADJ	مزو
مشهور	ADJ	مشهور
مشڪل	ADJ	مشڪل
مشڪلاتون	ADJ	مشڪل
معاشرتي	ADJ	معاشرو
معصوم	ADJ	معصوم
معطر	ADJ	معطر
مفيد	ADJ	مفيد
منافق	ADJ	منافق
مندائتي	ADJ	مند
منفرد	ADJ	منفرد
منهن	ADJ	منهن
موجود	ADJ	موجود
مٺا	ADJ	مٺو
مٺو	ADJ	مٺو
مٺي	ADJ	مٺي
مٿاهين	ADJ	مٿاه
مٿي	ADJ	مٿ
مڪمل	ADJ	مڪمل
نئين	ADJ	نئين
نافظ	ADJ	نافظ
ناممڪن	ADJ	ناممڪن
ناڪام	ADJ	ناڪام
نرم	ADJ	نرم
نقصان	ADJ	نقصان
نوان	ADJ	نوان
هيٺيان	ADJ	هيٺ
هڪجھڙو	ADJ	هڪ
واڌو	ADJ	واڌ
وسيع	ADJ	وسيع
وڌ	ADJ	وڌ
وڌيڪ	ADJ	وڌ
وڏا	ADJ	وڏو
وڏن	ADJ	وڏو
وڏو	ADJ	وڏو
وڏي	ADJ	وڏي
ٽٻ	ADJ	ٽٻ
پاڪ	ADJ	پاڪ
پري	ADJ	پري
پريشان	ADJ	پريشان
پناھ	ADJ	پناھ
پوري	ADJ	پوري
پياري	ADJ	پيار
پيدا	ADJ	پيدا
ٿڌو	ADJ	ٿڌ
ٿڌي	ADJ	ٿڌ
ٿڌڙي	ADJ	ٿڌ
ڄاڻو	ADJ	ڄاڻ
چڱا	ADJ	چڱو
چڱو	ADJ	چڱو
ڏاهو	ADJ	ڏاهو
ڏاڍا	ADJ	ڏاڍ
ڏاڍو	ADJ	ڏاڍو
ڏاڍي	ADJ	ڏاڍ
ڏکايل	ADJ	ڏک
کارو	ADJ	کار
ڪامياب	ADJ	ڪامياب
ڪوسي	ADJ	ڪوسي
ڪيترن	ADJ	ڪيترو
ڪيترين	ADJ	ڪيترو
ڪڙو	ADJ	ڪڙو
گرم	ADJ	گرم
گلابي	ADJ	گلاب
گوبر	ADJ	گوبر
گھٽ	ADJ	گھٽ
گھڻا	ADJ	گھڻو
گھڻو	ADJ	گھڻو
گھڻي	ADJ	گھڻي
ڳاڙهو	ADJ	ڳاڙهو
ڳڙي	ADJ	ڳڙي
تائين	ADP	تائين
تان	ADP	تان
ته	ADP	ته
تي	ADP	تي
جا	ADP	جو
جو	ADP	جو
جون	ADP	جو
جي	ADP	جي
ذريعي	ADP	ذريعو
سان	ADP	سان
سين	ADP	سين
لاءِ	ADP	لاءِ
مان	ADP	مان
وارو	ADP	وارو
واري	ADP	واري
وٽ	ADP	وٽ
کان	ADP	کان
کانسواءِ	ADP	کان
کانپوءِ	ADP	کان
کي	ADP	کي
۾	ADP	۾
ئي	ADV	ئي
اصل	ADV	اصل
انڪري	ADV	ان
ايتري	ADV	ايتري
ايتريتائين	ADV	ايتري
اڄ	ADV	اڄ
اڄڪلھ	ADV	اڄ
اڪثر	ADV	اڪثر
اڳي	ADV	اڳ
باقي	ADV	باقي
باوجود	ADV	باوجود
بس	ADV	بس
بلڪل	ADV	بلڪل
بي	ADV	بي
تقريبن	ADV	تقريبن
تمام	ADV	تمام
تڏهن	ADV	تڏهن
جلدي	ADV	جلد
جيئن	ADV	جيئن
دفعي	ADV	دفعو
روزانو	ADV	روز
رڳو	ADV	رڳو
سدائين	ADV	سدا
سڀاڻي	ADV	سڀاڻي
شديد	ADV	شديد
صرف	ADV	صرف
ضرور	ADV	ضرور
ضروري	ADV	ضرور
مطابق	ADV	مطابق
ناهن	ADV	ناه
ناهي	ADV	ناه
نه	ADV	نه
نٿا	ADV	نٿا
نٿو	ADV	نٿو
نٿي	ADV	نٿي
هاڻي	ADV	هاڻ
هت	ADV	هت
هرهنڌ	ADV	هر
هميشه	ADV	هميشه
ههڙو	ADV	ههڙو
هينئر	ADV	هينئر
وري	ADV	وري
ويتر	ADV	ويتر
